Entity already exists,Die Einheit existiert bereits,module,Magento_Theme
"Entity attribute with id ""%1"" not found","Entitätsattribut mit der ID ""%1"" nicht gefunden ",module,Magento_Eav
Entity Attributes,Entitätsattribute,module,Magento_Theme
Entity code %1 does not exist.,Der Entitätscode %1 existiert nicht.,module,Magento_GraphQl
Entity is not initialized,Datensatz ist nicht initialisiert,module,Magento_Theme
Entity is unknown,Entität ist unbekannt,module,Magento_Theme
Entity object is undefined,Entity-Objekt ist nicht definiert.,module,Magento_Theme
Entity Sequence profile not added to meta active profile,Einheits-Sequenzprofil nicht zum Meta-aktiven Profil hinzugefügt,module,Magento_Theme
Entity Type,Datensatztyp,module,Magento_Theme
Entity type '%1' cannot be processed.,Der Entitätstyp '%1' kann nicht verarbeitet werden.,module,Temando_Shipping
Entity Type Code,Entity-Typ-Code,module,Magento_Theme
Entity type model '%1' is not found,"Entitätstyp-Modell ""%1"" nicht gefunden",module,Magento_Theme
Entity type model must be an instance of ' .,Das Entitätstypmodell muss eine Instanz von ' sein.,module,Magento_CatalogImportExport
Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType,"Entity-Typ-Model muss eine Instanz von ""\Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"" sein.",module,Magento_Theme
Entity type model must be an instance of '%1',Der Ausführungstyp (entity type model) muß eine Instanz von  '%1',module,Magento_CatalogImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Entitätstyp-Modell muss eine Instanz von \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType sein,module,Magento_Theme
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Der Ausführungstyp (entity type model) muß eine Instanz von \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType sein.,module,Magento_AdvancedPricingImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Der Ausführungstyp (entity type model) muß eine Instanz von \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType sein.,module,Magento_CatalogImportExport
Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType,Entitätstypmodell muss eine Instanz von Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType sein,module,Magento_Theme
Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType,Der Ausführungstyp (entity type model) muß eine Instanz von Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType sein.,module,Magento_CatalogImportExport
Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,"Entity-Typ-Model muss eine Instanz von ""\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"" sein.",module,Magento_Theme
Entity type:,Entity-Typ:,module,Magento_Theme
Entity Types,Entity-Typen,module,Magento_Theme
Entity types declaration cache,Entitätstypen-Deklarations-Cache,module,Magento_Eav
Entity types declaration cache.,Entitätstypen-Deklarations-Cache,module,Magento_Theme
Entity with ID: %s doesn't exist,Entität mit ID: %s existiert nicht,module,Magento_Ui
entity_label_1,entity-label_1,module,Magento_Theme
entity_label_2,entity-label_2,module,Magento_Theme
Environment,Umgebung,module,Magento_Theme
Environment emulation nesting is not allowed.,Eine Verschachtelung der Umgebungs-Emulation ist nicht erlaubt.,module,Magento_Theme
Environment Update Time,Umgebungs-Aktualisierungszeit,module,Magento_Theme
equal to,entspricht,module,Magento_Theme
equal to or greater than,gleich oder größer als,module,Dotdigitalgroup_Email
equal to or less than,gleich oder kleiner als,module,Dotdigitalgroup_Email
equals or greater than,Gleich oder mehr als,module,Magento_Theme
equals or less than,Gleich oder weniger als,module,Magento_Theme
equals or less then,gleich oder kleiner als,module,Dotdigitalgroup_Email
Error,Fehler,module,Magento_Theme
error,Fehler,module,Magento_Theme
Error #%1 : %2,Fehler #%1 : %2,module,Magento_Theme
Error Code,Fehlercode,module,Magento_Theme
Error communicating with PayPal.,Fehler bei der Kommunikation mit PayPal.,module,Magento_Braintree
Error during coupons generator process occurred,Fehler beim Coupongeneratorprozess aufgetreten,module,Magento_SalesRule
Error during coupons generator process occurred. Please check logs for detail,Fehler beim Generieren von Coupons aufgetreten. Bitte überprüfen Sie die Protokolle auf Details.,module,Magento_SalesRule
Error during export process occurred,Fehler beim Exportvorgang aufgetreten,module,Magento_ImportExport
Error during export process occurred. Please check logs for detail,Fehler beim Exportvorgang aufgetreten. Bitte überprüfen Sie die Protokolle auf Details.,module,Magento_ImportExport
Error during VAT Number verification.,Fehler bei der Ust-ID-Verifikation,module,Magento_Theme
Error Email Recipient,Empfänger von Fehler-E-Mail,module,Magento_Theme
Error Email Sender,Absender für Fehler-E-Mail,module,Magento_Theme
Error Email Template,Vorlage für Fehler-E-Mail,module,Magento_Theme
Error executing PayPal billing agreement.,Fehler bei der Ausführung der PayPal-Rechnungsvereinbarung.,module,Magento_Braintree
Error executing PayPal order.,Fehler bei der Ausführung der PayPal-Bestellung.,module,Magento_Braintree
Error fetching customer or scope data for Chat,Fehler beim Abrufen von Kunden- oder Bereichsdaten für Chat,module,Dotdigitalgroup_Chat
Error File,Fehler-Datei,module,Magento_Theme
Error filtering template: %s,Fehler beim Filtern der Vorlage: %s,module,Magento_Theme
"Error format ""' . . '"" contains unsupported placeholders.","Fehlerformat """" .. """" enthält nicht unterstützte Platzhalter",module,Magento_Theme
Error in CSV: ' .,Fehler in CSV: ' ' .,module,Magento_ImportExport
Error in data structure: %1 values are mixed,Fehler in der Datenstruktur: %1 Werte sind gemischt,module,Magento_Theme
Error message,Fehlermeldung,module,Magento_Theme
Error Message,Fehlermeldung,module,Magento_Theme
error message,Fehlermeldung,module,Magento_Config
Error message!,Fehlermeldung!,module,Magento_Theme
Error occurred during execution %1,Fehler während der Ausführung: %1,module,Magento_Theme
Error occurred during execution of fileClose %1,Fehler während der Ausführung von fileClose %1,module,Magento_Theme
Error occurred during execution of fileFlush %1,Fehler während der Ausführung von fileFlush %1,module,Magento_Theme
Error occurred during execution of fileLock %1,Fehler während der Ausführung von fileLock %1,module,Magento_Theme
Error occurred during execution of filePutCsv %1,Fehler während der Ausführung von filePutCsv %1,module,Magento_Theme
Error occurred during execution of fileSeek %1,Fehler während der Ausführung von fileSeek %1,module,Magento_Theme
Error occurred during execution of fileUnlock %1,Fehler während der Ausführung von fileUnlock %1,module,Magento_Theme
Error occurred during execution of fileWrite %1,Fehler während der Ausführung von fileWrite %1,module,Magento_Theme
Error occurred when generating coupons: %1,Bei der Generierung von Gutscheinen ist ein Fehler aufgetreten: %1,module,Magento_Theme
Error occurred when saving coupon: %1,Beim Speichern des Gutscheins ist ein Fehler aufgetreten: %1,module,Magento_Theme
Error processing %key element of input data,Fehlerbehandlung %Schlüsselelement der Eingangsdaten,module,Magento_AsynchronousOperations
Error processing Amazon Login,Fehler bei der Bearbeitung von Amazon Login,module,Amazon_Login
"Error processing payment, please try again later.","Fehler bei der Verarbeitung der Zahlung, bitte versuchen Sie es später erneut.",module,Magento_Theme
Error processing payment. Please try again later.,Fehler bei der Zahlungsverarbeitung. Versuchen Sie es bitte später noch einmal.,module,Magento_Paypal
Error Text,Fehlertext,module,Magento_Theme
Error to Show in Shopping Cart,Fehler im Einkaufswagen anzeigen,module,Magento_Theme
"Error while generating js translation dictionary: ""%s""","Fehler beim Erzeugen des js Übersetzungswörterbuchs: ""%s""",module,Magento_Translation
"Error while translating phrase ""%s"" in file %s.","Fehler bei der Übersetzung der Phrase ""%s"" in der Datei %s.",module,Magento_Translation
error_message,error_message,module,Magento_Theme
error-message,Fehlermeldung,module,Magento_Theme
Error:,Fehler:,module,Magento_Theme
Error!,Fehler!,module,Magento_Theme
error123,Fehler123,module,Magento_Theme
error345,Fehler345,module,Magento_Theme
Errors in Cron Schedules Queue,Fehler in Cron-Zeitplan-Warteschlange,module,Magento_Theme
Escape HTML Entities,"HTML-Entities ""escapen"" (bestimmte Zeichen ersetzen)",module,Magento_Theme
Estimate Shipping and Tax,Geschätzte Steuern und Versandgebühren,module,Magento_Theme
Estimate Tax,Geschätzte Steuern,module,Magento_Theme
Estimated Total,Geschätzte Gesamtsumme,module,Magento_Checkout
Euro Region,Euro-Raum,module,Amazon_Core
Europack,Europack,module,Magento_Theme
Europe First Priority,Europa First Priorität,module,Magento_Theme
European Union Countries,EU-Länder,module,Magento_Theme
Event,Ereignis,module,Magento_Theme
Event Code,Ereigniscode,module,Magento_Theme
Event Country,Ereignisland,module,Magento_Theme
Event Data,Ereignisdaten,module,Magento_Theme
Event Date,Ereignisdatum,module,Magento_Theme
Event for selected category,Ereignis für ausgewählte Kategorie,module,Magento_Theme
Event Information,Ereignisinformationen,module,Magento_Theme
Event Location,Ereignisort,module,Magento_Theme
Event Name,Ereignisname,module,Dotdigitalgroup_Email
Event Region Id,Ereignisregion-ID,module,Magento_Theme
Event Region Text,Ereignisregionstext,module,Magento_Theme
Events,Ereignisse,module,Magento_Theme
Events to Scroll per Click in Event Slider Widget,Anzahl der Ereignisse pro Klick im Event-Slider-Widget,module,Magento_Theme
Every 10 days,Alle 10 Tage,module,Magento_Theme
Every 14 days,Alle 14 Tage,module,Magento_Theme
Every 3 days,Alle 3 Tage,module,Magento_Theme
Every 30 days,Alle 30 Tage,module,Magento_Theme
Every 40 days,Alle 40 Tage,module,Magento_Theme
Every 7 days,Alle 7 Tage,module,Magento_Theme
Every option entity must have a parent product entity.,Jede Optionseinheit muss eine übergeordnete Produkteinheit besitzen.,module,Magento_Theme
eWAY,eWay,module,Magento_Theme
ex. http://domain.com,z.B. http://domain.com,module,Magento_Theme
Exact Match.,Genaue Übereinstimmung.,module,Magento_Theme
Exact Match. Address and Postal Code. International,Genaue Übereinstimmung. Adresse und Postleitzahl. International,module,Magento_Theme
Exact Match. Address and Postal Code. UK-specific,Genaue Übereinstimmung. Adresse und Postleitzahl. UK-spezifisch,module,Magento_Theme
Example format: 200x300.,Beispielformat: 200x300,module,Magento_Theme
Example:,Beispiel:,module,Magento_Checkout
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","Beispiel: ""/ Sitemap /"" oder ""/"" für den Basispfad (Pfad muss beschreibbar sein)",module,Magento_Theme
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","Beispiel: ""/ Sitemap /"" oder ""/"" für den Basispfad (Pfad muss beschreibbar sein)",module,Magento_Sitemap
Example: #0072CC,Beispiel: #0072CC,module,Klarna_Kp
Example: 5px,Beispiel: 5px,module,Klarna_Kp
example: sitemap.xml,Beispiel: sitemap.xml,module,Magento_Theme
Excel XML,Excel XML,module,Magento_Theme
Exception,Ausnahme,module,Magento_Theme
exception,Ausnahme,module,Magento_Theme
Exception does not contain field '%1',"Ausnahme enthält nicht das Feld ""%1""",module,Magento_Theme
Exception for failed order not found.,Ausnahme für fehlgeschlagene Bestellung nicht gefunden.,module,Magento_Multishipping
Exception instance doesn't match %1 type,Ausnahmeinstanz stimmt nicht mit Typ %1 überein.,module,Magento_UrlRewrite
Exception message,Ausnahmemeldung,module,Magento_Theme
Exception message.,Ausnahmemeldung,module,Magento_Theme
Exception occurred during order load,Ausnahme während des Ladens der Bestellung aufgetreten.,module,Magento_Theme
Exception.,Ausnahme.,module,Magento_Theme
Excessive address change. The customer changed the billing address two or more times in the last six months,Hohe Anzahl an Adressänderungen. Der Kunde hat seine Rechnungsadresse in den letzten 6 Monaten zweimal oder öfter geändert.,module,Magento_Theme
Excessive name changes. The customer changed the name two or more times in the last six months,Hohe Anzahl an Namensänderungen. Der Kunde hat seinen Namen in den letzten 6 Monaten zweimal oder öfter geändert.,module,Magento_Theme
Excl. %1 VAT,Exkl. %1 Steuern,module,FireGento_MageSetup
"excl. <a href=""%1"">Shipping Cost</a>","exkl. <a href=""%1"">Versandkosten</a>",module,FireGento_MageSetup
Excl. Tax,Exkl. Steuern,module,Magento_Theme
Excl. tax:,Zzgl. Steuern:,module,Magento_Theme
Exclude,Ausschließen,module,Magento_Theme
Exclude from Navigation Menu,Vom Navigationsmenü ausschließen,module,Magento_Theme
Exclude media folder from backup,Medienordner aus dem Backup ausschließen,module,Magento_Theme
Excluding FPT,Ausschließlich FPT,module,Magento_Theme
"Excluding FPT, FPT description, final price","Ausschließlich FPT, FPT-Beschreibung, Endpreis",module,Magento_Theme
Excluding FPT. Including FPT description and final price,Ausschließlich FPT. Einschließlich FPT-Beschreibung und Endpreis.,module,Magento_Theme
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen.",module,Magento_Theme
Excluding Tax,Exklusive Steuern,module,Magento_Theme
Exclusion Rule,Ausschlussregel,module,Dotdigitalgroup_Email
Exclusion Rule Conditions,Bedingungen für Ausschlussregeln,module,Dotdigitalgroup_Email
Exclusion Rules,Ausschlussregeln,module,Dotdigitalgroup_Email
exec function is disabled.,exec-Funktion ist deaktiviert,module,Magento_Theme
Executed At,Ausgeführt bei,module,Magento_Theme
Execution Time,Durchführungszeit,module,Magento_Theme
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Vorhandene Anzahl von ""%1"" Produkten im Warenkorb wurde mit der soeben angeforderten Anzahl %2 ersetzt.",module,Magento_Theme
exists,existiert,module,Magento_Theme
Expand,Erweitern,module,Magento_Theme
Expand All,Alles erweitern,module,Magento_Theme
Expected Delivery:,Erwartete Lieferung:,module,Magento_Fedex
expectedResult,ErwartetesErgebnis,module,Magento_Email
Experiment Code,Experiment-Code,module,Magento_Theme
Experiment code should be added to the original page only.,Experiment-Code sollte nur auf der Originalseite hinzugefügt werden.,module,Magento_Theme
Expiration Date,Verfallsdatum,module,Magento_Theme
Expiration date,Verfallsdatum,module,Dotdigitalgroup_Email
Expiration date is invalid.,Das Ablaufdatum ist ungültig.,module,Magento_Braintree
Expiration date is required.,Ein Ablaufdatum ist erforderlich.,module,Magento_Braintree
Expiration month is invalid.,Der Ablaufmonat ist ungültig.,module,Magento_Braintree
Expiration Period,Ablaufzeitraum,module,Magento_Theme
Expiration year is invalid.,Das Ablaufjahr ist ungültig.,module,Magento_Braintree
Expiration year is invalid. It must be between 1975 and 2201.,Das Ablaufjahr ist ungültig. Es muss zwischen 1975 und 2201 liegen.,module,Magento_Braintree
Expire Time,Verfallszeit,module,Dotdigitalgroup_Email
Expired,Abgelaufen,module,Magento_Theme
Expired reward,Abgelaufene Belohnung,module,Magento_Theme
Expires,Läuft ab,module,Magento_Theme
expires,läuft ab,module,Magento_Braintree
expires,läuft ab,module,Magento_Paypal
Expires After (days),Verfällt nach (Tagen),module,Dotdigitalgroup_Email
Expires At,Verfällt am,module,Dotdigitalgroup_Email
Expires on %1,Läuft ab am %1,module,Magento_Theme
Expires: %1,Läuft ab: %1,module,Magento_Theme
Expiry Warning Before (days),Ablaufwarnung vorher (Tage),module,Magento_Theme
Explanation,Erklärung,module,Magento_Theme
Export,Export,module,Magento_Theme
Export block for grid %1 is not defined,Exportblock für Raster %1 ist nicht definiert,module,Magento_Theme
Export Category,Exportkategorie,module,Temando_Shipping
Export Configuration,Konfiguration exportieren,module,Magento_PageCache
Export CSV,CSV exportieren,module,Magento_Theme
Export Failed Emails,Fehlgeschlagene E-Mails exportieren,module,Magento_Theme
Export File Format,Dateiformat für Export,module,Magento_Theme
Export File Information,Dateiinformationen exportieren,module,Magento_Theme
Export Reason,Exportgrund,module,Temando_Shipping
Export Settings,Export-Einstellungen,module,Magento_Theme
Export Tax Rates,Steuersätze exportieren,module,Magento_Theme
Export to file and delete,In Datei exportieren und löschen,module,Vertex_Tax
Export to:,Exportieren nach:,module,Magento_Theme
Export VCL for Varnish,VCL für Varnish exportieren,module,Magento_Theme
Export VCL for Varnish %1,VCL für Varnish %1 exportieren,module,Magento_PageCache
Exported %1 rows.,Exportierte %1 Zeilen.,module,Magento_Theme
Express 10:30,Express 10:30,module,Magento_Theme
Express 12:00,Express 12:00,module,Magento_Theme
Express 9:00,Express 9:00,module,Magento_Theme
Express Checkout,Express Checkout,module,Magento_Theme
Express Checkout and Order have been canceled.,Express Checkout und Bestellung wurden storniert.,module,Magento_Theme
Express Checkout APIs,Express Checkout APIs,module,Magento_Theme
Express Checkout has been canceled.,Express Checkout wurde abgebrochen.,module,Magento_Theme
Express easy,Express easy,module,Magento_Theme
Express envelope,Express envelope,module,Magento_Theme
Express Saver,Express Saver,module,Magento_Theme
Express worldwide,Express worldwide,module,Magento_Theme
Extended address is too long.,Die erweiterte Adresse ist zu lang.,module,Magento_Braintree
Extensions,Extensions,module,Magento_Integration
Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.,"Extensions und Themes sind ein wesentlicher Bestandteil des Magento-Ökosystems. Bitte besuchen Sie den Magento-Marktplatz, um die neuesten Innovationen zu sehen, die Entwickler geschaffen haben, um Ihren Magento-Shop zu verbessern .",module,Magento_Theme
External Dynamic Url,Externe dynamische URL,module,Dotdigitalgroup_Email
External Dynamic URLs,Externe dynamische URLs,module,Dotdigitalgroup_Email
Extra Large,Extra groß,module,Amazon_Core
Extra parameters passed to parent construct: %1. File: %2,Zusätzliche Parameter an den Ursprung übergeben: %1 Datei: %2,module,Magento_Theme
failed,Fehlgeschlagen,module,Magento_Theme
Failed,Fehlgeschlagen,module,Magento_Theme
Failed address validation:\n%1,Adressvalidierung fehlgeschlagen:\n%1,module,Magento_Quote
Failed Email Receiver,Empfänger für fehlgeschlagene E-Mails,module,Magento_Theme
Failed Email Sender,Absender für fehlgeschlagene E-Mails,module,Magento_Theme
Failed Email Template,Vorlage für fehlgeschlagene E-Mails,module,Magento_Theme
Failed Messages Lifetime,Lebensdauer fehlgeschlagener Nachrichten,module,Magento_Theme
"Failed to authenticate to Adobe Stock API. <br> Please correct the API credentials in <a href=""%1"">Configuration → System → Adobe Stock Integration.</a>","Die Authentifizierung gegenüber der Adobe Stock API ist fehlgeschlagen. <br> Bitte korrigieren Sie die API-Anmeldeinformationen in <a href=""%1"">Konfiguration → System → Adobe Stock Integration.</a>",module,Magento_AdobeStockAsset
Failed to create backup,Fehler bei der Erstellung des Backups,module,Magento_Theme
Failed to create directory %1,Konnte Verzeichnis nicht erstellen: %1,module,Magento_Theme
Failed to delete %1 synonym group(s).,%1 Synonymgruppe(n) konnten nicht gelöscht werden.,module,Magento_Search
Failed to delete the image: %error,Das Bild konnte nicht gelöscht werden: %error,module,Magento_AdobeStockImage
Failed to get the quote,Angebot nicht erhalten,module,Magento_Ups
Failed to initialize customer,Kundeninitialisierung fehlgeschlagen,module,Magento_Theme
Failed to log Vertex Request,Protokollierung der Vertex-Anforderung fehlgeschlagen,module,Vertex_Tax
Failed to open file %1,Konnte die Datei %1 nicht öffnen,module,Magento_Theme
Failed to Order,Bestellung fehlgeschlagen,module,Magento_Multishipping
Failed to read data from %1,Konnte keine Daten aus %1 lesen,module,Magento_Theme
"Failed to retrieve product links for ""%1""","Produktlinks für ""%1"" konnten nicht abgerufen werden",module,Magento_CatalogGraphQl
Failed to retrieve quote from checkoutSession,Zitat nicht von der Kasse abrufenSitzung,module,Amazon_Payment
Failed to rollback.,Fehler beim Rollback,module,Magento_Theme
Failed to save new media gallery entry.,Fehler beim Speichern des neuen Mediengalerieeintrags,module,Magento_Theme
Failed to send items,Senden von Gegenständen fehlgeschlagen,module,Magento_Ups
Failed to send the package,Das Paket wurde nicht abgeschickt,module,Magento_Ups
Failed to synchronize data to the Magento Business Intelligence service.,Die Daten konnten nicht mit dem Magento Business Intelligence Service synchronisiert werden.,module,Magento_Analytics
Failed to synchronize data to the Magento Business Intelligence service. ,Die Daten konnten nicht mit dem Magento Business Intelligence Service synchronisiert werden.,module,Magento_Analytics
Failed to upload file %1 to ftp,FTP-Upload der Datei %1 fehlgeschlagen,module,Magento_Theme
Failed to validate ftp account,Fehler bei der Bestätigung des FTP-Kontos,module,Magento_Theme
Failed to validate FTP.,Fehler bei der FTP-Validierung,module,Magento_Theme
Failed to write crontab expression.,Crontab-Ausdruck konnte nicht geschrieben werden.,module,Vertex_Tax
Failed to write data to %1,Konnte keine Daten in %1 schreiben,module,Magento_Theme
failed.,Fehlgeschlagen.,module,Magento_Theme
Failure,Fehlschlag,module,Magento_Theme
Failure #1,Fehler #1,module,Magento_Payment
Failure #2,Fehler #2,module,Magento_Payment
Failure History Lifetime,Lebensdauer der Fehlerhistorie,module,Magento_Theme
Failures,Fehler,module,Magento_Theme
Fallback Products,Fallback-Produkte,module,Dotdigitalgroup_Email
FALSCH,FALSCH,module,Magento_Theme
FALSE,FALSCH,module,Magento_Theme
Fashion Apparel and Accessories,Modische Kleidung und Accessoires,module,Magento_Analytics
FATAL ERROR:,FATALER FEHLER:,module,Magento_Theme
Favicon Icon,Favicon-Icon,module,Magento_Theme
Fax,Fax,module,Magento_Theme
FDS Filter Action,FDS-Filteraktion,module,Magento_Theme
Featured Platinum Partners,Ausgewählte Platinum-Partner,module,Magento_Theme
Features,Merkmale,module,Magento_Paypal
FedEx,FedEx,module,Magento_Theme
FedEx 10kg Box,FedEx 10kg Box,module,Magento_Theme
FedEx 25kg Box,FedEx 25kg Box,module,Magento_Theme
FedEx Box,FedEx Box,module,Magento_Theme
FedEx Envelope,FedEx Envelope,module,Magento_Theme
FedEx Pak,FedEx Pak,module,Magento_Theme
FedEx Tube,FedEx Tube,module,Magento_Theme
Fee Amount,Gebührenbetrag,module,Magento_Theme
Fee Debit or Credit,Gebühr-Lastschrift oder Kredit,module,Magento_Theme
Fee Reversal,Stornierungsgebühr,module,Magento_Theme
Fee: Foreign ACH Withdrawal,Gebühr: Ausländische ACH-Widerruf,module,Magento_Theme
Fee: Mass Pay Request,Gebühr: Sammelzahlung anfordern,module,Magento_Theme
Fee: Web Site Payments Pro Account Monthly,Gebühr: Webseitenzahlungen pro Account monatlich,module,Magento_Theme
Fee: WorldLink Check Withdrawal,Gebühr: Worldlink Check-Widerruf,module,Magento_Theme
Feed,Feed,module,Magento_Theme
Feefo Feedback,Feefo Feedback,module,Dotdigitalgroup_Email
Feefo Feedback Engine,Feefo Feedback Engine,module,Dotdigitalgroup_Email
Feefo Logon,Feefo Anmeldung,module,Dotdigitalgroup_Email
Female,Weiblich,module,Magento_Theme
Fetch,Abrufen,module,Magento_Theme
Fetch Updates,Updates holen,module,Magento_Theme
Field,Feld,module,Magento_Dhl
Field,Feld,module,Magento_Fedex
Field,Feld,module,Magento_OfflineShipping
Field,Feld,module,Magento_Ups
Field,Feld,module,Magento_Usps
Field ,Feld,module,Magento_Dhl
Field ,Feld,module,Magento_Fedex
Field ,Feld,module,Magento_OfflineShipping
Field ,Feld,module,Magento_Ups
Field ,Feld,module,Magento_Usps
Field '%1' not found,Feld '%1' nicht gefunden,module,Magento_Indexer
Field 2,Feld 2,module,Magento_Theme
Field 3,Feld 3,module,Magento_Theme
Field 3.1,Feld 3.1,module,Magento_Theme
Field 3.1.1,Feld 3.1.1,module,Magento_Theme
Field 4,Feld 4,module,Magento_Theme
Field ID,Feld-ID,module,Vertex_Tax
Field separator,Feldtrenner,module,Magento_Theme
Field title can't be empty,Feldtitel darf nicht leer sein,module,Magento_Theme
Fields Enclosure,Felderbegrenzung,module,Magento_ImportExport
Fields enclosure,Felderbegrenzung,module,Magento_ImportExport
Fieldset Code,Fieldset-Code,module,Magento_Theme
Fieldset Properties,Fieldset-Eigenschaften,module,Magento_Theme
Fieldset Title,Fieldset-Titel,module,Magento_Theme
File,Datei,module,Magento_Theme
File '%1' is not an image.,"Datei ""%1"" ist kein Bild.",module,Magento_Theme
File '%1' was not found or has read restriction.,"Datei ""%1"" wurde nicht gefunden oder das Lesen ist eingeschränkt.",module,Magento_Theme
File '%system' cannot be found,"Datei ""%system"" kann nicht gefunden werden",module,Magento_Theme
"File ""%1"" cannot be opened %2","Die Datei ""%1"" kann nicht geöffnet werden %2",module,Magento_Theme
File (attachment),Datei (Anhang),module,Magento_Theme
File %1 does not exist,Die Datei %1 existiert nicht.,module,Magento_Theme
File %1 is not readable,Datei %1 ist nicht lesbar,module,Magento_Theme
File already exists,Die Datei existiert bereits,module,Magento_Theme
File app/etc/%1 can't be read. Please check if it exists and has read permissions.,"Die Datei app/etc/%1 kann nicht gelesen werden. Bitte prüfen Sie, ob es existiert und ob es Leserechte hat.",module,Magento_Deploy
File can not be moved from temporary folder to the destination folder.,Die Datei kann nicht vom temporären Ordner in den Zielordner verschoben werden.,module,Magento_Downloadable
File can not be saved to the destination folder.,Datei kann nicht im Zielordner gespeichert werden.,module,Magento_Catalog
File can not be saved to the destination folder.,Datei kann nicht im Zielordner gespeichert werden.,module,Magento_Customer
File cannot be read %1,Datei kann nicht gelesen werden %1,module,Magento_Theme
File Directory,Dateiverzeichnis,module,Magento_Theme
File directory '%1' is not readable.,"Dateiverzeichnis ""%1"" ist nicht lesbar.",module,Magento_Theme
File directory '%1' is not writable.,"Dateiverzeichnis ""%1"" ist nicht beschreibbar.",module,Magento_Theme
File does not exist,Datei existiert nicht,module,Magento_Theme
File Extensions,Dateierweiterungen,module,Magento_Theme
File extensions allowed: .csv,Erlaubte Dateierweiterungen: .csv,module,Magento_Theme
File Format,Dateiformat,module,Magento_Theme
File handler unreachable,File Handler ist nicht erreichbar,module,Magento_Theme
File has been not created,Datei wurde nicht erstellt,module,Magento_Theme
File history path:,Dateihistoriepfad:,module,Magento_Theme
File is not ready yet.,Die Datei ist noch nicht fertig.,module,Magento_Analytics
"File is valid! To start import process press ""Import"" button","Die Datei ist gültig! Um den Importvorgang zu starten, drücken Sie den Button ""Import""",module,Magento_Theme
File Mode,Dateimodus,module,Magento_Theme
File must be saved in UTF-8 encoding for proper import,"Die Datei muss in der UTF-8-Kodierung gespeichert sein, damit sie korrekt importiert werden kann.",module,Magento_ImportExport
File Name,Dateiname,module,Magento_Theme
File name,Dateiname,module,Magento_ImportExport
File not found,Datei nicht gefunden,module,Magento_Theme
"File not found: ""%1"".","Datei nicht gefunden: ""%1"".",module,Magento_Theme
File not opened,Datei nicht geöffnet,module,Magento_Theme
File size in bytes.,Dateigröße in Byte.,module,Magento_Theme
File System,Dateisystem,module,Magento_Theme
File system,Dateisystem,module,Magento_Theme
File to Import,Datei für den Import,module,Magento_Theme
File Type,Dateityp,module,Temando_Shipping
File validation failed.,Die Dateiüberprüfung ist fehlgeschlagen.,module,Magento_Catalog
File validation failed.,Die Dateiüberprüfung ist fehlgeschlagen.,module,Magento_Cms
"File with an extension ""%value%"" is protected and cannot be uploaded","Dateien mit der Erweiterung ""%value%"" sind geschützt und können nicht hochgeladen werden",module,Magento_Theme
File you are trying to upload exceeds maximum file size limit.,"Die Datei, die sie hochladen möchten, überschreitet die maximal zulässige Dateigröße.",module,Magento_Ui
Filename,Dateiname,module,Magento_Theme
Files ids can not be empty.,Dateien ids können nicht leer sein.,module,Magento_AdobeStockClient
Filesystem is not writable.,Das Dateisystem ist nicht beschreibbar.,module,Magento_Config
Filter,Filter,module,Magento_Theme
Filter already exists in Criteria object: %1,Filter existiert bereits für Kriterien-Objekt: %1,module,Magento_Theme
Filter condition %1 is not supported by the API.,Die Filterbedingung %1 wird von der API nicht unterstützt.,module,Temando_Shipping
Filter field %1 is not supported by the API.,Das Filterfeld %1 wird von der API nicht unterstützt.,module,Temando_Shipping
"Filter handler must be instance of ""%interface""","Der Filter-Handler muss eine Instanz von ""%interface"" sein.",module,Magento_InventoryImportExport
Filterable (no results),Filterbar (keine Resultate),module,Magento_Theme
Filterable (no results),Filterbar (ohne Resultate),module,Magento_LayeredNavigation
Filterable (with results),Filterbar (mit Resultaten),module,Magento_Theme
Filterable (with results),Filterbar (mit Resultaten),module,Magento_LayeredNavigation
